codigo_estudiantil,nombre,apellido,carrera,numero_telefono
106,Friederike,Moughtin,Ingeniería en Control y Automatización,6979772059
107,Guillaume,Heller,Ingeniería Civil,6899231734
108,Roldan,Horry,Tecnología en Electrónica Industrial,6691896971
109,Ottilie,Rosiello,Tecnología en Construcciones Civiles,5519200082
110,Lynett,Showler,Ingeniería en Telemática,4738167361
111,Jephthah,Kores,Ingeniería Civil,8679871501
112,Valina,Goodship,Ingeniería en Control y Automatización,2317179680
113,Helen,Coppo,Ingeniería en Control y Automatización,7532369913
114,Nester,Dorsey,Tecnología en Mecánica Industrial,6446900610
115,Jolynn,Pecey,Ingeniería en Telemática,2159680342
116,Sherlocke,Frome,Ingeniería Eléctrica,7447155113
117,Anneliese,Mateev,Ingeniería en Telemática,5796048861
118,Greta,Coppenhall,Ingeniería de Producción,6554258139
119,Portia,Thebe,Ingeniería en Telecomunicaciones,6345331864
120,Stirling,Arnely,Ingeniería en Telemática,1315808067
121,Thorn,Ramsbottom,Tecnología en Electrónica Industrial,2286185065
122,Graeme,Castanho,Ingeniería Eléctrica,1709470096
123,Lenci,Given,Ingeniería de Producción,6867173120
124,Pippy,Agates,Ingeniería en Control y Automatización,1573692024
125,Jaclyn,Hoyt,Ingeniería de Producción,1757099565
126,Neda,Kinnerk,Tecnología en Electrónica Industrial,1864218141
127,Ulberto,Kildea,Ingeniería Mecánica,6709293326
128,Keen,Vanyarkin,Tecnología en Construcciones Civiles,1293724656
129,Bettina,Lambeth,Ingeniería de Producción,8811901791
130,Erina,Greenig,Ingeniería Civil,7768908848
131,Hervey,Quaif,Otro,1179996258
132,Leia,Reavell,Tecnología en Gestión de la Producción Industrial,3878144458
133,Bobbee,Messom,Tecnología en Construcciones Civiles,4708430918
134,Ashlin,Dowdney,Ingeniería en Control y Automatización,9511654243
135,Nancee,Wadley,Ingeniería Mecánica,6458187051
136,Tully,Crilly,Ingeniería en Telecomunicaciones,7759772138
137,Ilaire,Gutteridge,Tecnología en Mecánica Industrial,6863938857
138,Zechariah,Braxton,Ingeniería Civil,4566878378
139,Greer,Phethean,Ingeniería de Producción,9424464756
140,Yvonne,McIan,Tecnología en Electrónica Industrial,3295833411
141,Holmes,Geary,Tecnología en Construcciones Civiles,7761308913
142,Vlad,Hedden,Tecnología en Gestión de la Producción Industrial,7171207122
143,Olly,Gyngyll,Ingeniería Mecánica,5275637048
144,Diena,Santon,Tecnología en Electrónica Industrial,4929927122
145,Doe,Jago,Ingeniería de Producción,5883963434
146,Tiebout,Titmus,Tecnología en Construcciones Civiles,2132756366
147,Flora,Ritmeyer,Tecnología en Electricidad de Media y Baja Tensión,1857726022
148,Judie,Kibel,Ingeniería Civil,1278311758
149,Maison,Sogg,Ingeniería de Producción,9158036520
150,Lockwood,Dolder,Ingeniería en Telemática,2773559984
151,Frederich,Gutridge,Ingeniería Eléctrica,4746136395
152,Fredek,Mitchinson,Ingeniería Mecánica,9994688965
153,Trixy,Beilby,Ingeniería de Producción,5278305886
154,Yvon,Duckels,Ingeniería en Control y Automatización,4419243536
155,Robers,Goacher,Tecnología en Mecánica Industrial,9011930979
156,Fidelity,Storek,Otro,7757781793
157,Halley,Plomer,Ingeniería en Telemática,6718957653
158,Christiana,Symcoxe,Ingeniería Mecánica,5503189805
159,Anderson,Jonathon,Ingeniería en Telecomunicaciones,6016586433
160,Gib,Licciardiello,Ingeniería Civil,3838725847
161,Collie,Yakolev,Ingeniería en Control y Automatización,1582663308
162,Corny,Leadstone,Ingeniería Eléctrica,9103723438
163,Gaylene,Handsheart,Tecnología en Mecánica Industrial,8318689694
164,Yovonnda,Habbershon,Tecnología en Construcciones Civiles,9899433166
165,Humfried,Seymark,Ingeniería en Control y Automatización,1004698848
166,Umeko,Getty,Ingeniería en Telemática,5615172335
167,Valerie,Facer,Tecnología en Gestión de la Producción Industrial,7602950495
168,Shannen,Battrick,Ingeniería en Control y Automatización,7732608474
169,Penny,Godball,Ingeniería Eléctrica,7506546560
170,Vonnie,Skews,Ingeniería de Producción,6413624200
171,Wallas,Odeson,Tecnología en Gestión de la Producción Industrial,5275115794
172,Diana,Carradice,Tecnología en Electricidad de Media y Baja Tensión,3491792318
173,Brittan,Leeb,Tecnología en Gestión de la Producción Industrial,7448369379
174,Chloette,Lamkin,Tecnología en Electricidad de Media y Baja Tensión,8749841813
175,Mommy,Vitte,Ingeniería en Control y Automatización,9238629060
176,Georgie,Turvie,Ingeniería de Producción,5821696988
177,Shell,Skeleton,Tecnología en Sistematización de Datos,3424092854
178,Emmalyn,Westfield,Tecnología en Electrónica Industrial,9394241442
179,Dimitri,Belone,Ingeniería en Telecomunicaciones,7139789362
180,Timothy,Van der Krui,Ingeniería en Telemática,3169532011
181,Vlad,Gipson,Ingeniería en Control y Automatización,2874515357
182,Georgeanna,Fright,Tecnología en Gestión de la Producción Industrial,6894139809
183,Judye,Leverich,Ingeniería Eléctrica,4756697800
184,Bernard,Kenwrick,Tecnología en Electrónica Industrial,6054830899
185,Gregorius,Abys,Tecnología en Construcciones Civiles,8293479857
186,Araldo,Stephen,Tecnología en Construcciones Civiles,8838495494
187,Florrie,Winders,Ingeniería en Telemática,4972983248
188,Randell,Doggart,Tecnología en Sistematización de Datos,9124062953
189,Elyn,Bisacre,Tecnología en Gestión de la Producción Industrial,9803068125
190,Jennifer,Udell,Tecnología en Electricidad de Media y Baja Tensión,8334606438
191,Jeana,Seakes,Tecnología en Electrónica Industrial,5383339219
192,Prue,Rodolfi,Ingeniería Civil,4328016401
193,Gnni,Menco,Ingeniería en Telemática,1597180246
194,Chaddie,Campelli,Ingeniería Civil,8303185209
195,Lian,Borell,Ingeniería en Telecomunicaciones,3283473497
196,Odette,Postlewhite,Ingeniería de Producción,9469201610
197,Myrilla,Wenden,Tecnología en Sistematización de Datos,5958676541
198,Morty,Matthieson,Ingeniería en Control y Automatización,5365495261
199,Culley,Hammill,Tecnología en Gestión de la Producción Industrial,8417816965
200,Josefina,Dyte,Tecnología en Construcciones Civiles,7029140055
201,Angelita,Meryett,Ingeniería Civil,5009729006
202,Tore,Fallis,Ingeniería en Telecomunicaciones,9616389840
203,Hermie,Foale,Ingeniería Eléctrica,6926959714
204,Latia,Lenihan,Tecnología en Construcciones Civiles,4425243595
205,Erv,Grundell,Otro,3485978911
206,Eba,O'Loughnan,Tecnología en Gestión de la Producción Industrial,1955116771
207,Viki,Spleving,Ingeniería de Producción,9181723259
208,Christoph,Wickman,Ingeniería en Control y Automatización,6835533539
209,Annecorinne,Oxteby,Otro,1116694461
210,Ame,Janc,Tecnología en Mecánica Industrial,2234463162
211,Chiarra,Idale,Tecnología en Construcciones Civiles,4532495673
212,Stoddard,Parradine,Tecnología en Electrónica Industrial,5198356494
213,Delaney,Petran,Ingeniería en Telecomunicaciones,6725295838
214,Ardine,Alves,Ingeniería de Producción,7747230022
215,Raffaello,Stroyan,Tecnología en Sistematización de Datos,6345356346
216,Lane,Giorgioni,Tecnología en Gestión de la Producción Industrial,7254134827
217,Kennett,Gerty,Tecnología en Sistematización de Datos,5699865869
218,Aymer,Gerritzen,Tecnología en Electrónica Industrial,3728132056
219,Easter,Seys,Tecnología en Gestión de la Producción Industrial,7325188185
220,Deidre,Dulanty,Otro,2379235672
221,Elfrida,Huntingford,Tecnología en Gestión de la Producción Industrial,8736186254
222,Donny,Breeze,Ingeniería de Producción,3014481735
223,Sashenka,Elson,Ingeniería de Producción,4025949863
224,Heidi,Leppington,Ingeniería Eléctrica,9311226907
225,Florina,Courcey,Tecnología en Electricidad de Media y Baja Tensión,3982484311
226,Daniel,Wheatman,Tecnología en Electrónica Industrial,7673366634
227,Manuel,Clissell,Ingeniería Mecánica,6811110453
228,Mandel,Sked,Ingeniería Civil,1137085325
229,Wendy,Bradnocke,Ingeniería en Telemática,3021779348
230,Adrea,Poetz,Ingeniería en Control y Automatización,4138812356
231,Miguel,Simmons,Otro,8122912516
232,Jerry,Altoft,Ingeniería Mecánica,4628689436
233,Raynor,Kadd,Otro,2414279406
234,Tomas,Jessup,Otro,7335591682
235,Shellie,Coppock.,Ingeniería de Producción,2004681034
236,Sabra,Laite,Ingeniería de Producción,8322930651
237,Dix,Ox,Tecnología en Sistematización de Datos,9971494314
238,Ase,Jouanot,Ingeniería en Telemática,1702647420
239,Ansell,Sevitt,Tecnología en Sistematización de Datos,8203586075
240,Traci,Maxwell,Tecnología en Electricidad de Media y Baja Tensión,4084240395
241,Eartha,Foxwell,Otro,2672278829
242,Nealon,Howlin,Tecnología en Sistematización de Datos,2061134587
243,Malia,Sawle,Tecnología en Sistematización de Datos,5506367796
244,Isidoro,Dahle,Ingeniería en Telemática,8142566491
245,Becca,Le Fevre,Ingeniería de Producción,1114493637
246,Odelinda,Bremmell,Ingeniería Mecánica,2598718373
247,Raquel,Simonot,Tecnología en Gestión de la Producción Industrial,3366820723
248,Rodrick,Gecke,Tecnología en Sistematización de Datos,6753225862
249,Annmaria,Balas,Tecnología en Construcciones Civiles,3787669463
250,Maury,Gosnold,Otro,6742607291
251,Tomaso,Grosier,Tecnología en Gestión de la Producción Industrial,2646057524
252,Cheri,Sharrem,Ingeniería en Telecomunicaciones,6054721145
253,Lars,Meeson,Ingeniería Mecánica,2803685258
254,Torrie,Skydall,Ingeniería Eléctrica,9302614782
255,Gale,Gothard,Ingeniería de Producción,4297504104
256,Patty,Whitwam,Tecnología en Electricidad de Media y Baja Tensión,5634183104
257,Roseanna,Tilly,Otro,6578960912
258,Garret,McLagan,Tecnología en Sistematización de Datos,6098528758
259,Oona,Pirrone,Tecnología en Gestión de la Producción Industrial,2025970930
260,Waylon,Belsey,Otro,7212869267
261,Felisha,Baudouin,Tecnología en Mecánica Industrial,6881306270
262,Joyous,Kellington,Tecnología en Electrónica Industrial,8185198609
263,Janessa,Cordaroy,Ingeniería en Control y Automatización,1467618780
264,Frederigo,Channer,Otro,2705726862
265,Joell,Sandal,Ingeniería de Producción,9922029835
266,Allan,Czapla,Ingeniería en Telecomunicaciones,4017882221
267,Carol,Forth,Tecnología en Gestión de la Producción Industrial,8032371768
268,Palm,Pittendreigh,Ingeniería Civil,1391533352
269,Renard,Gallifont,Tecnología en Construcciones Civiles,4488159293
270,Cart,Challiss,Ingeniería Mecánica,5375303104
271,Nevin,Adenot,Tecnología en Electricidad de Media y Baja Tensión,1783224349
272,Kelli,Jaumet,Ingeniería de Producción,7495032339
273,Ingrim,Swarbrigg,Ingeniería de Producción,9473481585
274,Martica,Mackett,Ingeniería Mecánica,4409679771
275,Noelani,Struss,Ingeniería en Control y Automatización,9856941561
276,Carolynn,Meader,Otro,6701957372
277,Ethan,Coggon,Tecnología en Mecánica Industrial,7837863282
278,Roderich,MacKenny,Ingeniería Civil,5326945044
279,Dode,Selbach,Tecnología en Mecánica Industrial,6169019466
280,Layne,Evamy,Otro,2123992884
281,Mallissa,McMinn,Tecnología en Gestión de la Producción Industrial,5016697520
282,Ettie,Selly,Tecnología en Gestión de la Producción Industrial,9967785529
283,Wyatan,Cordell,Ingeniería Eléctrica,4264463162
284,Teirtza,Grey,Otro,3313250664
285,Damara,Hamflett,Ingeniería de Producción,4302237401
286,Ivette,Groneway,Tecnología en Sistematización de Datos,7162877443
287,Elysia,MacIntosh,Tecnología en Electricidad de Media y Baja Tensión,3471652960
288,Dolorita,Broinlich,Ingeniería en Control y Automatización,9771079391
289,Micaela,Roughey,Tecnología en Mecánica Industrial,6417490825
290,Ignaz,Maymand,Tecnología en Construcciones Civiles,1027789758
291,Dorie,Dufaur,Tecnología en Construcciones Civiles,4348393789
292,Rois,Reijmers,Tecnología en Construcciones Civiles,1943776590
293,Adler,Corden,Tecnología en Construcciones Civiles,4753590748
294,Bell,Polak,Ingeniería en Telecomunicaciones,8423349683
295,Berty,Paynter,Ingeniería Eléctrica,3611288977
296,Tiffi,Malam,Tecnología en Sistematización de Datos,2324551431
297,Samson,Pawelczyk,Ingeniería Eléctrica,4103480290
298,Bronny,Brockman,Tecnología en Electricidad de Media y Baja Tensión,4246065369
299,Berni,Kerwood,Tecnología en Sistematización de Datos,9918792224
300,Julita,Semper,Ingeniería Eléctrica,3776018082
301,Christin,Gillott,Ingeniería de Producción,8046149506
302,Francis,Sabberton,Otro,1216358329
303,Valdemar,Sworne,Ingeniería en Telemática,7774970406
304,Zeke,Rue,Ingeniería Eléctrica,4707975861
305,Edythe,Barge,Tecnología en Gestión de la Producción Industrial,7684901726
306,Kimbra,Tomkinson,Ingeniería Eléctrica,3417430792
307,Nadya,Corstan,Tecnología en Gestión de la Producción Industrial,9674533385
308,Hamilton,Beyn,Ingeniería en Telemática,8422056496
309,Gerta,Danelut,Tecnología en Mecánica Industrial,4075982991
310,Annamaria,Thunnercliff,Tecnología en Electricidad de Media y Baja Tensión,3953305794
311,Cortie,O' Byrne,Ingeniería Eléctrica,4451107257
312,Keelia,Baynam,Otro,8263290645
313,Holli,Beauvais,Tecnología en Construcciones Civiles,3148825685
314,Rusty,Pilmore,Ingeniería en Telecomunicaciones,6253280561
315,Rusty,Lyston,Ingeniería Eléctrica,9774418972
316,Perle,Ziebart,Otro,8296536508
317,Stephanie,Romanetti,Ingeniería Mecánica,9982942999
318,Ray,Pizzey,Tecnología en Construcciones Civiles,6647514376
319,Waylon,Castell,Ingeniería en Control y Automatización,4255701781
320,Forest,Kniveton,Tecnología en Mecánica Industrial,4037356939
321,Kristin,Terbrugge,Tecnología en Sistematización de Datos,9359730842
322,Sheilakathryn,Andriss,Ingeniería en Telemática,3284839934
323,Jacqui,Burnip,Tecnología en Mecánica Industrial,5588302644
324,Sheryl,Schulter,Ingeniería de Producción,7445007206
325,Gretchen,Timbridge,Otro,3284870276
326,Bobinette,Tilbury,Tecnología en Sistematización de Datos,7735359886
327,Stanislaw,Swancott,Tecnología en Electricidad de Media y Baja Tensión,1508462716
328,Edithe,Ruggieri,Tecnología en Construcciones Civiles,3542981508
329,Amata,Beminster,Ingeniería en Telemática,4432216045
330,Fritz,Melarkey,Tecnología en Sistematización de Datos,7609703970
331,Brandi,Illston,Ingeniería de Producción,6208558199
332,Ramon,Storres,Ingeniería Mecánica,3634289159
333,Ivar,O'Sheerin,Tecnología en Electrónica Industrial,6316951928
334,Vitoria,Nicklen,Ingeniería de Producción,5412601175
335,Shelba,Helleker,Ingeniería Civil,1485130589
336,Alexandr,Northin,Tecnología en Electrónica Industrial,4892447290
337,Jessa,Attenbarrow,Tecnología en Gestión de la Producción Industrial,5534004872
338,Christin,Gayle,Tecnología en Sistematización de Datos,6753164403
339,Hatty,Bretland,Tecnología en Electrónica Industrial,4046469141
340,Hillard,Plowman,Tecnología en Electricidad de Media y Baja Tensión,2548133641
341,Karissa,Wrist,Tecnología en Mecánica Industrial,6459494424
342,Rebecca,Judge,Ingeniería Eléctrica,9909504778
343,Horatius,Duce,Ingeniería en Telemática,1676436142
344,Rochella,Lage,Tecnología en Construcciones Civiles,4507901623
345,Eulalie,Wooff,Tecnología en Sistematización de Datos,3942628051
346,Jermaine,Devenport,Ingeniería Eléctrica,9312794935
347,Blisse,Gomersall,Tecnología en Construcciones Civiles,5548873005
348,Adelind,Markham,Ingeniería Eléctrica,7787862581
349,North,Gladding,Ingeniería Eléctrica,1461021501
350,Kessia,Walburn,Ingeniería en Control y Automatización,9515362477
351,Dedra,Parfrey,Ingeniería Eléctrica,2741745249
352,Margarete,Andrault,Tecnología en Mecánica Industrial,1676868445
353,Diannne,Legister,Tecnología en Construcciones Civiles,5022513942
354,Riobard,Moubray,Tecnología en Gestión de la Producción Industrial,8698352141
355,Odie,De Stoop,Ingeniería Eléctrica,2478089759
356,Lindon,Mingey,Ingeniería Eléctrica,8086391252
357,Elvira,Wigan,Ingeniería Mecánica,4182359680
358,Steffen,Winnard,Ingeniería en Telecomunicaciones,3121988074
359,Mel,Boother,Tecnología en Sistematización de Datos,3622366918
360,Jarrod,Thaim,Ingeniería Mecánica,4726404664
361,Vonni,Chestnut,Tecnología en Electricidad de Media y Baja Tensión,3347397218
362,Adelina,Tassell,Ingeniería de Producción,5485826708
363,Mort,Milson,Tecnología en Sistematización de Datos,4459834345
364,Tyne,Hadlington,Ingeniería en Telecomunicaciones,3344129843
365,Lyndsie,Merry,Ingeniería en Control y Automatización,3152399523
366,Murvyn,Eaken,Ingeniería Civil,2256900643
367,Urson,Balle,Ingeniería en Control y Automatización,3012209651
368,Lanna,Figure,Tecnología en Sistematización de Datos,4006102770
369,Nat,Larimer,Ingeniería Mecánica,7832007495
370,Beatrisa,Neville,Ingeniería en Telemática,5822381404
371,Izak,Betjes,Tecnología en Sistematización de Datos,8833559550
372,Averil,McLevie,Otro,3478188798
373,Neilla,Durtnal,Tecnología en Construcciones Civiles,5832949813
374,Sophey,Gannicott,Otro,2215182523
375,Mirella,Franklyn,Otro,9477902773
376,Torrey,St Quenin,Ingeniería Mecánica,8445351478
377,Loree,Skilbeck,Ingeniería Eléctrica,6514688972
378,Levy,Euston,Tecnología en Electricidad de Media y Baja Tensión,5672551422
379,Aeriel,Tanti,Ingeniería Eléctrica,1576626583
380,Michal,Aymeric,Tecnología en Mecánica Industrial,3132000307
381,Maximilien,Ashcroft,Tecnología en Sistematización de Datos,8177340288
382,Nerita,Tilston,Ingeniería en Telemática,7666835705
383,Ferdinand,Malin,Tecnología en Gestión de la Producción Industrial,7169325916
384,Rockie,Marzelo,Tecnología en Mecánica Industrial,8853322686
385,Rosanna,Wadworth,Tecnología en Mecánica Industrial,4851223502
386,Kai,Greenshiels,Tecnología en Construcciones Civiles,6213744144
387,Ashely,Quadling,Ingeniería en Telemática,4615555696
388,Gerta,Crasswell,Tecnología en Construcciones Civiles,9172783590
389,Johnathan,Handrik,Ingeniería Civil,7203108881
390,Clarke,Mulvaney,Otro,7909655537
391,Jourdain,Columbell,Ingeniería de Producción,7841592099
392,Zaneta,Melrose,Tecnología en Sistematización de Datos,1521128988
393,Bettina,Kenyam,Tecnología en Gestión de la Producción Industrial,3872121367
394,Salomone,Ceillier,Ingeniería en Telecomunicaciones,7275590206
395,Roy,Maton,Ingeniería de Producción,2153991973
396,Reinhold,Shermore,Tecnología en Mecánica Industrial,1977465130
397,Felike,Thorne,Otro,5308405674
398,Abra,Sweet,Ingeniería Civil,5467704327
399,Gibbie,Matley,Tecnología en Sistematización de Datos,1377532712
400,Lianne,Radage,Tecnología en Mecánica Industrial,9241505360
401,Deane,Nodin,Ingeniería en Telemática,6154461957
402,Doe,Christal,Tecnología en Sistematización de Datos,7983223040
403,Indira,Annes,Tecnología en Construcciones Civiles,5813134533
404,Hillary,Stockoe,Tecnología en Sistematización de Datos,7822124535
405,Petrina,Bouts,Ingeniería en Control y Automatización,9565021320
406,Minda,Hacquel,Ingeniería en Telemática,4781021010
407,Janeta,Loverock,Ingeniería en Telemática,3413986137
408,Dionisio,Yashnov,Tecnología en Sistematización de Datos,3374399870
409,Rossy,Seath,Ingeniería Mecánica,5564594553
410,Kiley,Durning,Tecnología en Sistematización de Datos,8357233181
411,Dyna,Phinnessy,Ingeniería Civil,9425429232
412,Micheline,Vogt,Ingeniería Mecánica,2467198576
413,Moises,Rodgerson,Tecnología en Electricidad de Media y Baja Tensión,7113495943
414,Mindy,Jakobssen,Tecnología en Mecánica Industrial,6836505304
415,Griswold,Graffham,Tecnología en Sistematización de Datos,2477729126
416,Ambrosius,MacCahee,Ingeniería en Control y Automatización,5505529398
417,Marion,Duffrie,Tecnología en Electrónica Industrial,7576875893
418,Correy,Lavens,Ingeniería en Control y Automatización,6367915974
419,Ferguson,Breeton,Otro,4055193518
420,Camel,McCullum,Otro,2999264729
421,Robena,McNamara,Otro,4474646419
422,Towny,MacKill,Ingeniería de Producción,4142387779
423,Timoteo,Flanaghan,Otro,2953521299
424,Wheeler,Curtiss,Ingeniería en Telecomunicaciones,7358638218
425,Omero,Stonary,Tecnología en Gestión de la Producción Industrial,3488924690
426,Yancey,Farloe,Tecnología en Gestión de la Producción Industrial,8674858997
427,Jodie,D'Alessio,Ingeniería de Producción,2187758348
428,Mollee,Durtnall,Ingeniería en Telemática,9754740681
429,Philip,Shelley,Ingeniería en Telemática,9753920698
430,Orel,Thurby,Tecnología en Gestión de la Producción Industrial,2937822545
431,Saidee,Tarver,Tecnología en Gestión de la Producción Industrial,7784630629
432,Deva,Jahnig,Tecnología en Construcciones Civiles,8887561178
433,Wally,Truscott,Ingeniería Civil,9395208437
434,Trude,Briscow,Ingeniería en Control y Automatización,4774590685
435,Caleb,Goodlad,Otro,3668349283
436,Cleve,Hirthe,Tecnología en Electrónica Industrial,5259663204
437,Jess,Landis,Tecnología en Sistematización de Datos,7017798490
438,Jerald,Tansley,Tecnología en Electrónica Industrial,2634293839
439,Ross,Blenkinsopp,Ingeniería de Producción,7952822398
440,Hayes,Slator,Tecnología en Mecánica Industrial,3494231699
441,Egbert,Emanulsson,Ingeniería Eléctrica,7959507053
442,Pamelina,Lazell,Tecnología en Electrónica Industrial,4594304341
443,Albertina,Mathias,Ingeniería de Producción,3536358937
444,Ervin,Conduit,Ingeniería en Telecomunicaciones,5499003289
445,Wenonah,Roland,Ingeniería en Control y Automatización,4156115391
446,Correna,Wandrich,Ingeniería en Control y Automatización,1619394318
447,Frank,Ashling,Otro,6508911322
448,Corilla,Ropert,Ingeniería de Producción,3233709368
